Brand,ProductCategory,ProductSubCategory,BarCode,ProductCode,ProductName,ProductDescription,Tax,MRP,SalesPrice,Unit,HSNCode
BLOWHOT,GOODS,,,77,RANGE HOOD BL-021 S/S BF,,18,,5381,PCS,8414 51 10
BLOWHOT,GOODS,,,78,RANGEHOOD BL - 009 ELECTRA BPC LOWHOT,,18,,6771,PCS,8414 51 10
BLOWHOT,GOODS,,,79,THREE BURNER GAS STOVE WR003 DIGITAL GLASS MYRA,,18,,2610,PCS,7321 11 10
BLOWHOT,GOODS,,,80,THREE BURNER GAS STOVE WR003 DIGITAL GLASS AUTO MYRA,,18,,3123,PCS,7321 11 10
BLOWHOT,GOODS,,,81,FOUR BURNER GAS STOVE WR004 STEEP DIGITAL GLASS MYRA WABER,,18,,3403,PCS,7321 11 10
LIBERTY,GOODS,,,82,LIBERTY SUPREME DX,,18,,6525.42,NOS,8479 20 90
SINGER,GOODS,,,83,LIBERTY SUPREME,,18,,6101.69,NOS,8479 20 90
SINGER,GOODS,,,84,AERCOOL DX,,18,,5932.2,NOS,8479 20 90
SINGER,GOODS,,,85,EVEREST SLEEK,,18,,5508.47,NOS,8479 20 90
RACOLD,GOODS,,,86,PRONTO NEO SS3V 3KW WH(3801876),,28,,2070.31,NOS,8516 10 00
BALTRA,GOODS,,,87,GUST JUSER(BJMG-102),,28,,2129,PCS,8509 40 10
BALTRA,GOODS,,,88,SUPERFAST BC-135,,28,,1,PCS,8516 10 00
BALTRA,GOODS,,,89,APACHE HAND BLANDER (BHB-113),,28,,569,PCS,8509 40 10
BALTRA,GOODS,,,90,HEATING CUP 13 CM (1.2LTR) (BHC-103),,28,,1,PCS,8516 10 00
HINDWARE,GOODS,,,91,HI44. HINDWARE CHIMNEY GRACE PLUS 60CM,,18,,6779.66,NOS,8414 51 10
MAHARAJA WHITE LINE,GOODS,,,92,JOY TURBO-MG (750W),,28,,1992.19,NOS,8509 40 10
MAHARAJA WHITE LINE,GOODS,,,93,HB TURBOMIX,,28,,617.19,NOS,8509 40 10
BALTRA,GOODS,,,94,GRILL UNO(GRILLER) (BTG- 105),,28,,2442,NOS,8516 10 00
