brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,02/23/2016,02/23/2016,8919601,139654673,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/24/2016,02/24/2016,8919601,139033688,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/18/2016,02/18/2016,8919601,138021411,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/28/2016,01/28/2016,8919601,122340926,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/25/2016,02/25/2016,8919601,122330679,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140845757,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842929,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/15/2016,02/15/2016,8919601,140845880,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/23/2016,02/23/2016,8919601,139656041,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/25/2016,02/25/2016,8919601,139655795,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,01/28/2016,01/28/2016,8919601,139655225,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/21/2016,02/21/2016,8919601,139034546,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,139034413,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/06/2016,02/06/2016,8919601,138022484,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,137792434,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/20/2016,02/20/2016,8919601,122340660,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/20/2016,02/20/2016,8919601,122331990,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/07/2016,02/07/2016,8919601,121862243,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/16/2016,02/16/2016,8919601,114441955,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/09/2016,02/09/2016,8919601,114441252,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/01/2016,02/01/2016,8919601,114433663,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2035,3rd_renewal,$20.00 
LMPLUS,02/06/2016,02/06/2016,8919601,114431493,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/25/2016,02/25/2016,8919601,114242270,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/22/2016,02/22/2016,8919601,114111681,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/27/2016,01/27/2016,8919601,121868521,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842010,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LMPLUS,02/01/2016,02/01/2016,8919601,106390129,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation,$7.00 
